MES_REFERENCIA;SUBMERCADO;PERIODO_COMERCIALIZACAO;DIA;HORA;PLD_HORA
202512;NORTE;654;28;5;193.55
202512;SUDESTE;654;28;5;193.54
202512;SUL;654;28;5;193.53
202512;NORDESTE;655;28;6;184.13
202512;NORTE;655;28;6;184.14
202512;SUDESTE;655;28;6;184.13
202512;SUL;655;28;6;184.13
202512;NORDESTE;656;28;7;112.5
202512;NORTE;656;28;7;112.51
202512;SUDESTE;656;28;7;112.5
202512;SUL;656;28;7;112.51
202512;NORDESTE;657;28;8;58.6
202512;NORTE;657;28;8;58.6
202512;SUDESTE;657;28;8;58.6
202512;SUL;657;28;8;58.6
202512;NORDESTE;658;28;9;58.6
202512;NORTE;658;28;9;58.6
202512;SUDESTE;658;28;9;58.6
202512;SUL;658;28;9;58.6
202512;NORDESTE;659;28;10;58.6
202512;NORTE;659;28;10;58.6
202512;SUDESTE;659;28;10;58.6
202512;SUL;659;28;10;58.6
202512;NORDESTE;660;28;11;58.6
202512;NORTE;660;28;11;58.6
202512;SUDESTE;660;28;11;58.6
202512;SUL;660;28;11;58.6
202512;NORDESTE;661;28;12;58.6
202512;NORTE;661;28;12;58.6
202512;SUDESTE;661;28;12;58.6
202512;SUL;661;28;12;58.6
202512;NORDESTE;662;28;13;58.6
202512;NORTE;662;28;13;58.6
202512;SUDESTE;662;28;13;58.6
202512;SUL;662;28;13;58.6
202512;NORDESTE;663;28;14;58.6
202512;NORTE;663;28;14;58.6
202512;SUDESTE;663;28;14;58.6
202512;SUL;663;28;14;58.6
202512;NORDESTE;664;28;15;168.38
202512;NORTE;664;28;15;168.39
202512;SUDESTE;664;28;15;168.38
202512;SUL;664;28;15;168.39
202512;NORDESTE;665;28;16;186.45
202512;NORTE;665;28;16;186.46
202512;SUDESTE;665;28;16;186.46
202512;SUL;665;28;16;186.46
202512;NORDESTE;666;28;17;201.68
202512;NORTE;666;28;17;201.69
202512;SUDESTE;666;28;17;201.69
202512;SUL;666;28;17;201.68
202512;NORDESTE;667;28;18;211.47
202512;NORTE;667;28;18;211.48
202512;SUDESTE;667;28;18;211.48
202512;SUL;667;28;18;211.47
202512;NORDESTE;668;28;19;215.35
202512;NORTE;668;28;19;215.36
202512;SUDESTE;668;28;19;215.36
202512;SUL;668;28;19;215.35
202512;NORDESTE;669;28;20;213.11
202512;NORTE;669;28;20;213.12
202512;SUDESTE;669;28;20;213.12
202512;SUL;669;28;20;213.11
202512;NORDESTE;670;28;21;212.73
202512;NORTE;670;28;21;212.74
202512;SUDESTE;670;28;21;212.74
202512;SUL;670;28;21;212.73
202512;NORDESTE;671;28;22;212.79
202512;NORTE;671;28;22;212.8
202512;SUDESTE;671;28;22;212.8
